Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9669302100156778,1.0340204663714412,1.0178191989439216,1.0131660871416575
BLEU-3,0.22426289605166488,0.23166083091675949,0.2812408286036472,0.24830781809133942
METEOR,0.44393420684075,0.46094219664232305,0.5194420667131726,0.4753161620677736
F1-Score,0.5472302929409701,0.5542794475036326,0.597173655347445,0.5620905801262265
ROUGE-L,0.4605949974995979,0.4605885601073026,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.2403302686916163,0.24234288550299685,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.32244501747983595,0.3256203500957476,0.373555432142875,0.34184582316404777
Precision,0.5709752642941968,0.5608970631392883,0.6041672948434325,0.5736852863826177
Recall,0.5383856493846975,0.5622309575132872,0.6028949272895984,0.5658596888549426
WER,0.7300143320117204,0.7616258954908516,0.6833503082974387,0.7223747223804549
WER-DL,0.7285230370528917,0.7603938049894825,0.6817726408703408,0.7204487212391238
PER,0.535494474939325,0.5527420380363475,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7135802469135802,0.7333333333333333,0.7604938271604939,0.7086419753086419
BERT-F1,0.6732166138328152,0.6655820539336146,0.780976676646574,0.7542882906066046
BERT-P,0.7017435217345203,0.6946206812137439,0.788190992967582,0.7644862963829512
BERT-R,0.6557918222598088,0.6494888845417235,0.7756219069898864,0.746495599658401
