Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9686584812980594,1.1788041479666616,1.0178191989439216,1.0131660871416575
BLEU-3,0.21071628128246445,0.14780489627779025,0.2812408286036472,0.24830781809133942
METEOR,0.43457273734187635,0.3230826902854216,0.5194420667131726,0.4753161620677736
F1-Score,0.5389913747980619,0.4093577324259638,0.597173655347445,0.5620905801262265
ROUGE-L,0.4462035573530401,0.34160149979995724,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.22659026326892084,0.15994901784009116,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.31021982932220515,0.22664720364327587,0.373555432142875,0.34184582316404777
Precision,0.5606705414256169,0.41396084787513926,0.6041672948434325,0.5736852863826177
Recall,0.5315032398350994,0.4236322278177256,0.6028949272895984,0.5658596888549426
WER,0.7496643380712698,1.018313627510135,0.6833503082974387,0.7223747223804549
WER-DL,0.7483326719702086,1.017810536268815,0.6817726408703408,0.7204487212391238
PER,0.5415438008349226,0.8586596179788035,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7086419753086419,0.5851851851851851,0.7604938271604939,0.7086419753086419
BERT-F1,0.6701096767260705,0.6040142761336432,0.7809766764994021,0.7542882903122607
BERT-P,0.6982276828936589,0.600956717207108,0.7881909923788942,0.7644862962357792
BERT-R,0.6529977916199484,0.6122661042728542,0.7756219066955425,0.746495599511229
