Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9671448956870774,1.0275725021460598,1.0178191989439216,1.0131660871416575
BLEU-3,0.2221982719477852,0.22887676618340222,0.2812408286036472,0.24830781809133942
METEOR,0.4429637502288157,0.45653725599406836,0.5194420667131726,0.4753161620677736
F1-Score,0.5436141810133592,0.5514973414891251,0.597173655347445,0.5620905801262265
ROUGE-L,0.4569710514813326,0.45801397588244985,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.23550289672466587,0.24038124969912003,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.31793094776717284,0.3234045560435489,0.373555432142875,0.34184582316404777
Precision,0.5656327923217477,0.5594810238736203,0.6041672948434325,0.5736852863826177
Recall,0.5356770262340325,0.5587934889050966,0.6028949272895984,0.5658596888549426
WER,0.7306083920352232,0.7605185668952374,0.6833503082974387,0.7223747223804549
WER-DL,0.7291796123990789,0.7590194552892009,0.6817726408703408,0.7204487212391238
PER,0.5343506152742472,0.5514460529450848,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7185185185185186,0.7382716049382716,0.7604938271604939,0.7086419753086419
BERT-F1,0.6695978912306421,0.6682625853353077,0.780976676646574,0.7542882907537767
BERT-P,0.6980493980425375,0.6961414147674302,0.788190992967582,0.7644862965301231
BERT-R,0.6524577045514259,0.6527051604088442,0.7756219065483706,0.746495599511229
