Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9667432608357945,1.0312426521161713,1.0178191989439216,1.0131660871416575
BLEU-3,0.21445688084292164,0.21205303723810226,0.2812408286036472,0.24830781809133942
METEOR,0.43472454936564425,0.4470058731721975,0.5194420667131726,0.4753161620677736
F1-Score,0.5417284875910368,0.5405244057036518,0.597173655347445,0.5620905801262265
ROUGE-L,0.4510091706505052,0.4481017059057639,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.22864741680175302,0.22737350705366488,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3124668993767492,0.31092287201141683,0.373555432142875,0.34184582316404777
Precision,0.5647833408400429,0.546515187449729,0.6041672948434325,0.5736852863826177
Recall,0.5337405758675172,0.5482608005772476,0.6028949272895984,0.5658596888549426
WER,0.7428266128527049,0.7725929552078153,0.6833503082974387,0.7223747223804549
WER-DL,0.7410329774830567,0.7712027176276081,0.6817726408703408,0.7204487212391238
PER,0.5394832981982844,0.5632777870001208,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7308641975308642,0.7283950617283951,0.7604938271604939,0.7086419753086419
BERT-F1,0.6622034387088116,0.6618448980796484,0.7809766764994021,0.7542882904594327
BERT-P,0.6918216039369136,0.6878401656209686,0.788190992967582,0.7644862965301231
BERT-R,0.6447264855290636,0.6473791737983257,0.7756219064011985,0.746495599511229
