Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9673333348051288,1.029181393288594,1.0178191989439216,1.0131660871416575
BLEU-3,0.22726314663796027,0.23391837085792624,0.2812408286036472,0.24830781809133942
METEOR,0.4471351348454095,0.4611387900156893,0.5194420667131726,0.4753161620677736
F1-Score,0.5515123417258844,0.5556310457378418,0.597173655347445,0.5620905801262265
ROUGE-L,0.4656867375586549,0.4627962284487843,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.24435820736448619,0.2445915893513626,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3265381344295178,0.3275612580952444,0.373555432142875,0.34184582316404777
Precision,0.5751550940593722,0.5630177381291495,0.6041672948434325,0.5736852863826177
Recall,0.542460852261096,0.5624725559056467,0.6028949272895984,0.5658596888549426
WER,0.7239221821481197,0.7549561999824335,0.6833503082974387,0.7223747223804549
WER-DL,0.7223609446048689,0.7532347389627753,0.6817726408703408,0.7204487212391238
PER,0.5311518133474424,0.5486738478198205,0.4877104876070344,0.5343920006251017
SAP-MMA,0.725925925925926,0.7432098765432099,0.7604938271604939,0.7086419753086419
BERT-F1,0.6709351976344615,0.6681738643734544,0.7809766764994021,0.7542882903122607
BERT-P,0.6997078277446606,0.696304656105277,0.7881909925260662,0.7644862962357792
BERT-R,0.6531891480640128,0.6524280998441908,0.7756219064011985,0.746495599511229
