Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9607980253744488,1.0293100577375327,1.0178191989439216,1.0131660871416575
BLEU-3,0.2218468155838549,0.23205508573386,0.2812408286036472,0.24830781809133942
METEOR,0.44117184900163947,0.4625590922526752,0.5194420667131726,0.4753161620677736
F1-Score,0.5464610251902902,0.5566047184218577,0.597173655347445,0.5620905801262265
ROUGE-L,0.4571904947302382,0.46209561684605954,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.23489196391494063,0.24547041420586718,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.31832163451741946,0.32854236412054033,0.373555432142875,0.34184582316404777
Precision,0.5711230081379016,0.5637008257577318,0.6041672948434325,0.5736852863826177
Recall,0.5362977070981799,0.5642572096767873,0.6028949272895984,0.5658596888549426
WER,0.7326955980034761,0.7572255422991975,0.6833503082974387,0.7223747223804549
WER-DL,0.7309446731256685,0.7563735338943245,0.6817726408703408,0.7204487212391238
PER,0.533885562375573,0.5493104953797521,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7111111111111111,0.7160493827160493,0.7604938271604939,0.7086419753086419
BERT-F1,0.6678445942975857,0.6670262842634578,0.7809766763522301,0.7542882907537767
BERT-P,0.6963958225868366,0.6957891560998963,0.7881909926732381,0.7644862965301231
BERT-R,0.6503871300706157,0.6508296988260599,0.7756219066955425,0.746495599511229
