Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9627393316714451,1.301916996126719,1.0178191989439216,1.0131660871416575
BLEU-3,0.20926900263149065,0.07987836430218997,0.2812408286036472,0.24830781809133942
METEOR,0.4312532610927065,0.16600653816633498,0.5194420667131726,0.4753161620677736
F1-Score,0.537760133140088,0.27122674337647296,0.597173655347445,0.5620905801262265
ROUGE-L,0.44786115330638265,0.2193442618771955,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.22714750201998257,0.08781266060633969,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.31025258328967853,0.13693097678619687,0.373555432142875,0.34184582316404777
Precision,0.5607398222524894,0.27382841249884954,0.6041672948434325,0.5736852863826177
Recall,0.5287899875513926,0.28593873028280364,0.6028949272895984,0.5658596888549426
WER,0.7400417275862069,1.2380236138201905,0.6833503082974387,0.7223747223804549
WER-DL,0.7391505834783522,1.23761278808075,0.6817726408703408,0.7204487212391238
PER,0.5392881785984887,1.120481572168644,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7185185185185186,0.4123456790123457,0.7604938271604939,0.7086419753086419
BERT-F1,0.6752697457133988,0.45839093463656344,0.7809766763522301,0.7542882904594327
BERT-P,0.7025337572450991,0.4588880600016794,0.7881909926732381,0.7644862963829512
BERT-R,0.6585056042965548,0.4625570861277757,0.7756219062540266,0.746495599364057
