Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9620840679638265,1.0245346871076357,1.0178191989439216,1.0131660871416575
BLEU-3,0.21954835409791343,0.22520797031574025,0.2812408286036472,0.24830781809133942
METEOR,0.4417619314555906,0.45378639405385957,0.5194420667131726,0.4753161620677736
F1-Score,0.5471740999525018,0.5497141705690317,0.597173655347445,0.5620905801262265
ROUGE-L,0.4564960241244377,0.45641538571241547,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.23585272703680998,0.23886477147295354,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3191830089200343,0.3218202480361249,0.373555432142875,0.34184582316404777
Precision,0.5712965176729479,0.556950861941602,0.6041672948434325,0.5736852863826177
Recall,0.5379303005118322,0.5564725622321111,0.6028949272895984,0.5658596888549426
WER,0.7327746396317643,0.7568574829709976,0.6833503082974387,0.7223747223804549
WER-DL,0.7313612840829337,0.7555081303593296,0.6817726408703408,0.7204487212391238
PER,0.5323755331141506,0.5515669559454422,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7086419753086419,0.7111111111111111,0.7604938271604939,0.7086419753086419
BERT-F1,0.6690998852252961,0.6651416180678356,0.780976676646574,0.7542882906066046
BERT-P,0.6980823542600797,0.694247884662063,0.78819099282041,0.7644862963829512
BERT-R,0.651615920221364,0.6490306159964314,0.7756219068427145,0.746495599364057
