Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.969594364494153,1.0313887508030741,1.0178191989439216,1.0131660871416575
BLEU-3,0.22715754393209073,0.2306549489176596,0.2812408286036472,0.24830781809133942
METEOR,0.44701912898022356,0.45839184044287623,0.5194420667131726,0.4753161620677736
F1-Score,0.5507411519852883,0.5521736350615697,0.597173655347445,0.5620905801262265
ROUGE-L,0.4651718512226045,0.45967352612348567,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.24368647841507687,0.2423309572674047,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3258448320661342,0.3250189883047904,0.373555432142875,0.34184582316404777
Precision,0.5737469687943045,0.5594779416905044,0.6041672948434325,0.5736852863826177
Recall,0.5421540623209341,0.5596102177869511,0.6028949272895984,0.5658596888549426
WER,0.7255920637380916,0.7611403575797657,0.6833503082974387,0.7223747223804549
WER-DL,0.7240588845562324,0.7598972201119885,0.6817726408703408,0.7204487212391238
PER,0.5320602813127014,0.5553069978701858,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7234567901234568,0.7308641975308642,0.7604938271604939,0.7086419753086419
BERT-F1,0.6713261503864217,0.6630400890921369,0.7809766764994021,0.7542882907537767
BERT-P,0.6992749715292895,0.6933371836756482,0.78819099282041,0.7644862966772951
BERT-R,0.6538998934221857,0.6460672981577155,0.7756219066955425,0.746495599658401
