Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9722301024938103,1.025256187791121,1.0178191989439216,1.0131660871416575
BLEU-3,0.2157174405775932,0.23290979567252754,0.2812408286036472,0.24830781809133942
METEOR,0.43556740037889374,0.46441114570899056,0.5194420667131726,0.4753161620677736
F1-Score,0.5415754426273374,0.5574561370965299,0.597173655347445,0.5620905801262265
ROUGE-L,0.45394242762840536,0.4602277427700611,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.23265694704194126,0.24389545153490783,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3153075374757414,0.3275693860112608,0.373555432142875,0.34184582316404777
Precision,0.5637160997848472,0.5665976120879621,0.6041672948434325,0.5736852863826177
Recall,0.5337586159625095,0.5628679559527775,0.6028949272895984,0.5658596888549426
WER,0.7401674371856078,0.7590350173474342,0.6833503082974387,0.7223747223804549
WER-DL,0.7384093073477634,0.7575706772198175,0.6817726408703408,0.7204487212391238
PER,0.5411303567594642,0.5465562129138009,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7234567901234568,0.7209876543209877,0.7604938271604939,0.7086419753086419
BERT-F1,0.6688957737919725,0.6678439387200791,0.7809766764994021,0.7542882906066046
BERT-P,0.6958709885308771,0.6961369609759178,0.78819099282041,0.7644862965301231
BERT-R,0.652406456808985,0.652233549658163,0.7756219066955425,0.746495599511229
