Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9682334857766954,1.0304430691830209,1.0178191989439216,1.0131660871416575
BLEU-3,0.22441114942333013,0.23193327310691247,0.2812408286036472,0.24830781809133942
METEOR,0.4447195528267951,0.46031390981636083,0.5194420667131726,0.4753161620677736
F1-Score,0.5501402957126488,0.5538883743490933,0.597173655347445,0.5620905801262265
ROUGE-L,0.4638033337528351,0.46114814553296746,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.2422345921558169,0.24339672341026763,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.32463433978774814,0.32624764045486043,0.373555432142875,0.34184582316404777
Precision,0.5738922811386732,0.5613407969394368,0.6041672948434325,0.5736852863826177
Recall,0.5412582611375547,0.5607823889672804,0.6028949272895984,0.5658596888549426
WER,0.7280703674403182,0.7563665836848105,0.6833503082974387,0.7223747223804549
WER-DL,0.7265292952529858,0.7548944870954822,0.6817726408703408,0.7204487212391238
PER,0.5339902973933012,0.5519898500665917,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7209876543209877,0.7185185185185186,0.7604938271604939,0.7086419753086419
BERT-F1,0.6701992562891524,0.669311433552224,0.7809766764994021,0.7542882903122607
BERT-P,0.6988968650499979,0.6983059248806518,0.7881909925260662,0.7644862963829512
BERT-R,0.6525456937006963,0.6530687353493255,0.7756219068427145,0.746495599658401
