Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9570504246941637,1.01575371629817,1.0178191989439216,1.0131660871416575
BLEU-3,0.22013034790477043,0.22196183521485782,0.2812408286036472,0.24830781809133942
METEOR,0.4362410278866521,0.4481737926287872,0.5194420667131726,0.4753161620677736
F1-Score,0.5403694331104514,0.5479572008622542,0.597173655347445,0.5620905801262265
ROUGE-L,0.4558015209461663,0.45312002469604024,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.23522918819825306,0.23521141666231846,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.31693984953382576,0.318669666527884,0.373555432142875,0.34184582316404777
Precision,0.5660405639124465,0.557820275888677,0.6041672948434325,0.5736852863826177
Recall,0.5292879003896286,0.5518619576858134,0.6028949272895984,0.5658596888549426
WER,0.7281534636586041,0.7616730324798047,0.6833503082974387,0.7223747223804549
WER-DL,0.7264217626501376,0.760016857971129,0.6817726408703408,0.7204487212391238
PER,0.5378736418727186,0.5500636387544661,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7333333333333333,0.7209876543209877,0.7604938271604939,0.7086419753086419
BERT-F1,0.6685435450371401,0.6593284116483029,0.780976676646574,0.7542882906066046
BERT-P,0.6978555724576667,0.6873690609946663,0.788190992967582,0.7644862965301231
BERT-R,0.650572649711444,0.643580526922956,0.7756219066955425,0.746495599658401
