Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9666523308465151,1.0302860238398481,1.0178191989439216,1.0131660871416575
BLEU-3,0.22717597565895511,0.2347661935992409,0.2812408286036472,0.24830781809133942
METEOR,0.44743908115656544,0.4617211542936761,0.5194420667131726,0.4753161620677736
F1-Score,0.5520021717894382,0.5553694116514869,0.597173655347445,0.5620905801262265
ROUGE-L,0.4659136927516614,0.4639118608728598,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.24408748425380733,0.24588086380753668,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.32646896104607276,0.32846639442240677,0.373555432142875,0.34184582316404777
Precision,0.5762303057083025,0.5628427042363889,0.6041672948434325,0.5736852863826177
Recall,0.5427541887747779,0.5625552367569847,0.6028949272895984,0.5658596888549426
WER,0.724563448564153,0.7532042542937399,0.6833503082974387,0.7223747223804549
WER-DL,0.7230609999685798,0.7515539716921436,0.6817726408703408,0.7204487212391238
PER,0.5310815778445057,0.5501941805278678,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7234567901234568,0.7333333333333333,0.7604938271604939,0.7086419753086419
BERT-F1,0.6709229686745891,0.6640975332186546,0.7809766764994021,0.7542882903122607
BERT-P,0.699904074197934,0.6939713888698154,0.788190993114754,0.7644862963829512
BERT-R,0.6529985034171446,0.6475419502935292,0.7756219066955425,0.746495599658401
