Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9659308485688374,1.0298671730108642,1.0178191989439216,1.0131660871416575
BLEU-3,0.2265839657511424,0.23420561226559758,0.2812408286036472,0.24830781809133942
METEOR,0.4470761886037052,0.4619786115945386,0.5194420667131726,0.4753161620677736
F1-Score,0.5509833549668136,0.5558808890612881,0.597173655347445,0.5620905801262265
ROUGE-L,0.46616318991512684,0.46393794827299517,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.24308036303202246,0.24670970046320784,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3254896698723703,0.3292175987099978,0.373555432142875,0.34184582316404777
Precision,0.5753301862855829,0.5634229029957875,0.6041672948434325,0.5736852863826177
Recall,0.5413501459493547,0.5630446890089172,0.6028949272895984,0.5658596888549426
WER,0.7237084658313248,0.7548840450192257,0.6833503082974387,0.7223747223804549
WER-DL,0.72211531877904,0.7532220149066304,0.6817726408703408,0.7204487212391238
PER,0.5309672538063093,0.5490797203056791,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7234567901234568,0.745679012345679,0.7604938271604939,0.7086419753086419
BERT-F1,0.669792934001228,0.6671641538908453,0.7809766763522301,0.7542882907537767
BERT-P,0.6987176975350321,0.6969456336380523,0.7881909926732381,0.7644862965301231
BERT-R,0.6520052003639716,0.6502923244679416,0.7756219066955425,0.746495599364057
