Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9673071314072261,1.028169436140954,1.0178191989439216,1.0131660871416575
BLEU-3,0.22630369634634412,0.23075368581483197,0.2812408286036472,0.24830781809133942
METEOR,0.4457221411455171,0.45892313575342075,0.5194420667131726,0.4753161620677736
F1-Score,0.5509509714809571,0.5540455591027297,0.597173655347445,0.5620905801262265
ROUGE-L,0.4649813091361685,0.4616449253190467,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.24352120464359225,0.2432883270973337,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.32577569001428874,0.32623955878159216,0.373555432142875,0.34184582316404777
Precision,0.5745518175356038,0.5615345956160186,0.6041672948434325,0.5736852863826177
Recall,0.541970306260322,0.5610052653236991,0.6028949272895984,0.5658596888549426
WER,0.725276861739742,0.7547678090532264,0.6833503082974387,0.7223747223804549
WER-DL,0.7238007668103694,0.7532440139763231,0.6817726408703408,0.7204487212391238
PER,0.5315632878174328,0.5503445339742108,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7234567901234568,0.7333333333333333,0.7604938271604939,0.7086419753086419
BERT-F1,0.6716871051876633,0.6625461534953412,0.780976676646574,0.7542882907537767
BERT-P,0.700370153306443,0.6921793938786895,0.78819099282041,0.7644862965301231
BERT-R,0.6540121406316757,0.6461449791987737,0.7756219069898864,0.746495599511229
