Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9659193198798409,1.0308168318893465,1.0178191989439216,1.0131660871416575
BLEU-3,0.22595484295791027,0.2327613340340202,0.2812408286036472,0.24830781809133942
METEOR,0.4462902458685201,0.4612638619713189,0.5194420667131726,0.4753161620677736
F1-Score,0.5489197386076806,0.5545818215723151,0.597173655347445,0.5620905801262265
ROUGE-L,0.461403054012867,0.4619242288580201,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.23996372056632922,0.24316023612821175,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.32268188832629563,0.32625559079084454,0.373555432142875,0.34184582316404777
Precision,0.5725565193135724,0.5620020471654876,0.6041672948434325,0.5736852863826177
Recall,0.5399940795374254,0.5622453067179983,0.6028949272895984,0.5658596888549426
WER,0.7271773040063217,0.7587322085611367,0.6833503082974387,0.7223747223804549
WER-DL,0.7257292843509374,0.7577331134964662,0.6817726408703408,0.7204487212391238
PER,0.532538795476324,0.5536469130577663,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7111111111111111,0.7432098765432099,0.7604938271604939,0.7086419753086419
BERT-F1,0.6702276191225758,0.6663301310421508,0.7809766764994021,0.7542882906066046
BERT-P,0.6983075341324747,0.6951820994968767,0.7881909925260662,0.7644862963829512
BERT-R,0.6531898788831852,0.650521042096762,0.7756219064011985,0.746495599658401
