Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9664822584015682,1.0310988368553555,1.0178191989439216,1.0131660871416575
BLEU-3,0.21752186311395205,0.22450025574293836,0.2812408286036472,0.24830781809133942
METEOR,0.4411648773478858,0.4560883307926692,0.5194420667131726,0.4753161620677736
F1-Score,0.5459049649694748,0.5498973437035756,0.597173655347445,0.5620905801262265
ROUGE-L,0.4529673857239199,0.45875141016655185,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.23214774938815663,0.23860558003512353,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3161683210252641,0.3216667907350203,0.373555432142875,0.34184582316404777
Precision,0.5700298538108184,0.5563939973565986,0.6041672948434325,0.5736852863826177
Recall,0.5366816340278958,0.5583127063624022,0.6028949272895984,0.5658596888549426
WER,0.7446075072890226,0.7649439732806317,0.6833503082974387,0.7223747223804549
WER-DL,0.7436417951330434,0.7636092952282787,0.6817726408703408,0.7204487212391238
PER,0.535836315127622,0.5567658607331814,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7283950617283951,0.7135802469135802,0.7604938271604939,0.7086419753086419
BERT-F1,0.6718388892250297,0.6685759683450063,0.7809766764994021,0.7542882907537767
BERT-P,0.6990515922322685,0.6953750293563914,0.78819099282041,0.7644862966772951
BERT-R,0.6551346250890214,0.6536875774463018,0.7756219065483706,0.746495599658401
